"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","0","","tests/simple.test.js","","tests/simple.test.js","Adding null and null should equal false","Adding null and null should equal false",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","3","","tests/simple.test.js","","tests/simple.test.js","Adding 0 and 0 should equal 0","Adding 0 and 0 should equal 0",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","0","","tests/simple.test.js","","tests/simple.test.js","Adding undefined and undefined should equal false","Adding undefined and undefined should equal false",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","3","","tests/advanced.test.js","","tests/advanced.test.js","ensure that when the getData function is called, data comes back as a response","ensure that when the getData function is called, data comes back as a response",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","0","","tests/simple.test.js","","tests/simple.test.js","Adding 100000000000000000 and 100000000000000000 should equal 200000000000000000","Adding 100000000000000000 and 100000000000000000 should equal 200000000000000000",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","3","","tests/advanced.test.js","","tests/advanced.test.js","ensure the class has been setup properly","ensure the class has been setup properly",""
"passed","Tue Oct 10 17:09:41 GMT 2023","Tue Oct 10 17:09:41 GMT 2023","2","","tests/simple-refactored.test.js","","tests/simple-refactored.test.js","making sure jest is configured properly","making sure jest is configured properly",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","1","","tests/simple.test.js","","tests/simple.test.js","Adding false and false should equal false","Adding false and false should equal false",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","1","","tests/simple.test.js","","tests/simple.test.js","Adding 0 and 1 should equal 1","Adding 0 and 1 should equal 1",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","6","","tests/minimal.test.js","","tests/minimal.test.js","making sure jest is configured properly","making sure jest is configured properly",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","1","","tests/simple.test.js","","tests/simple.test.js","Adding NaN and NaN should equal false","Adding NaN and NaN should equal false",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","1","","tests/simple.test.js","","tests/simple.test.js","Adding 1000 and 1000 should equal 2000","Adding 1000 and 1000 should equal 2000",""
"passed","Tue Oct 10 17:09:42 GMT 2023","Tue Oct 10 17:09:42 GMT 2023","0","","tests/simple.test.js","","tests/simple.test.js","Adding 1 and 1 should equal 2","Adding 1 and 1 should equal 2",""
